NAICS_Code,Description,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
44814,Family clothing stores,101357,98201,95406,92631,88272,84508,80924,82799,84592,81712,77292,72444,67494,64289,60150,58913,55318,50154,45243,42259,39999,38103,35297,33146
44819,Other clothing stores,16788,15459,14486,13941,12671,11704,11356,11764,12003,11042,10144,9983,9223,8766,8888,8815,8247,7470,7321,7110,6610,5992,5521,5295
4482,Shoe stores,34521,33451,32516,31039,29260,27233,25646,26975,26811,26682,25263,23685,23167,23201,22884,22875,22690,22238,21450,21235,20341,19907,19028,18616
4483,Jewelry luggage and leather goods stores,34181,33833,33213,32323,31251,27777,27459,30906,32772,31961,30131,29279,27166,26269,25195,26702,25380,22785,21121,21634,20284,19015,17594,16117
44831,Jewelry stores,31505,31212,30451,29862,29050,25909,25698,28993,30820,30103,28421,27623,25493,24638,23561,24821,23691,21271,19629,20169,19007,17852,16429,15045
451,Sporting goods hobby book and music stores,87355,85466,84578,82981,80697,80420,80213,83628,84651,83148,80889,79284,76767,76680,76836,75808,72458,68645,65288,63768,60642,57249,52091,49026
4511,Sporting goods hobby and musical instrument stores,73779,71423,70286,67743,63820,61901,60831,62463,62457,60229,56965,55000,53012,52652,52278,51444,48613,45810,43682,42913,40631,38932,35453,33663
45111,Sporting goods stores,46353,44723,44401,42142,38995,37407,36574,36777,35804,33869,30713,28640,27000,26219,26158,25308,23699,22284,21167,20810,19869,18825,16791,15583
45112,Hobby toy and game stores,18022,17409,16907,16620,16119,15805,15530,16107,16344,16020,16255,16314,16582,16909,16820,16947,16651,15833,15021,14502,13714,12850,11651,11251
4512,Book periodical and music stores,13576,14043,14292,15238,16877,18519,19382,21165,22194,22919,23924,24284,23755,24028,24558,24364,23845,22835,21606,20855,20011,18317,16638,15363
45121,Book stores and news dealers,12000,12364,12591,13416,14827,16326,16847,18098,18452,18305,18263,18167,17347,16560,16305,16148,15459,14631,14010,13158,12402,11213,10120,9303
451211,Book stores,11009,11325,11489,12269,13716,15238,15802,16801,17171,16978,16992,16881,16219,15437,15098,14879,14172,13282,12742,11905,11196,10107,9108,8327
452,General merchandise stores,674928,667163,651874,642313,624766,603757,588918,595041,578582,554256,528385,497382,468771,446520,427468,404228,380179,351081,331363,315305,300498,285190,265996,247876
4521,Department stores (excl. L.D.),164031,168068,170194,177313,183361,184755,186583,198236,209392,213155,215266,215691,214470,220743,228377,232475,230304,223290,220108,212203,205920,198945,187685,177089
45211,Department stores,164031,168068,170194,177313,183361,184755,186583,198236,209392,213155,215266,215691,214470,220743,228377,232475,230304,223290,220108,212203,205920,198945,187685,177089
452111,Department stores (except discount dept. stores),58939,60543,60616,62961,65738,64901,63340,71149,76887,80297,84751,84466,85146,86857,90782,96282,96652,94308,93985,92172,89300,89402,86325,85153
452112,Discount dept. stores,105092,107525,109578,114352,117623,119854,123243,127087,132505,132858,130515,131225,129324,133886,137595,136193,133652,128982,126123,120031,116620,109543,101360,91936
4521,Department stores (incl. L.D.),166407,170421,172371,179362,185609,187058,189283,202144,213941,218132,220676,221419,220775,227773,235579,239921,236847,228934,225062,217001,210919,203808,192125,181255
45211,Department stores,166407,170421,172371,179362,185609,187058,189283,202144,213941,218132,220676,221419,220775,227773,235579,239921,236847,228934,225062,217001,210919,203808,192125,181255
452111,Department stores (except discount dept. stores),61130,62743,62674,64856,67560,66494,65013,73153,79015,82662,87461,87265,88277,90228,93871,100284,100302,97523,97013,95065,92258,92015,88720,87384
452112,Discount dept. stores,105277,107678,109697,114506,118049,120564,124270,128991,134926,135470,133215,134154,132498,137545,141708,139637,136545,131411,128049,121936,118661,111793,103405,93871
4529,Other general merchandise stores,510897,499095,481680,465000,441405,419002,402335,396805,369190,341101,313119,281691,254301,225777,199091,171753,149875,127791,111255,103102,94578,86245,78311,70787
45291,Warehouse clubs and supercenters,441741,433303,419365,406309,386343,367993,354529,351226,324963,297956,271920,242330,216286,191252,164716,139614,118809,98493,81919,73079,65101,57756,46628,40025
45299,All other general merchandise stores,69156,65792,62315,58691,55062,51009,47806,45579,44227,43145,41199,39361,38015,34525,34375,32139,31066,29298,29336,30023,29477,28489,31683,30762
453,Miscellaneous store retailers,119461,115878,112412,110018,108401,104234,101745,110688,116418,113694,107279,104177,101913,102783,103087,106719,104218,98369,90232,82819,75977,69457,61545,54840
4531,      Florists,6042,5971,5778,5578,5580,5891,5868,6710,7244,7329,7078,6730,6945,7494,7859,8171,7804,7585,7316,7122,6636,6587,6429,6397
4532,      Office supplies stationery and gift stores,31528,32420,32972,33454,34083,34310,34478,38087,41245,41290,39775,39319,38704,39025,39385,41653,40006,37120,33667,30889,29327,27143,23876,21416
45321, Office supplies and stationery stores,14728,15839,16641,17401,18117,18774,19397,21272,23204,22788,22162,21685,21017,20961,20885,22748,21600,19522,17334,15592,14824,13235,11127,9184
45322,  Gift novelty and souvenir stores,16800,16581,16331,16053,15966,15536,15081,16815,18041,18502,17613,17634,17687,18064,18500,18905,18406,17598,16333,15297,14503,13908,12749,12232
4533,      Used merchandise stores,17044,16193,15423,14728,13248,11800,10872,11242,10930,10413,9320,9271,9214,9500,9527,9832,9377,9023,8058,7256,6617,6125,6136,5567
4539,      Other miscellaneous store retailers,64847,61294,58239,56258,55490,52233,50527,54649,56999,54662,51106,48857,47050,46764,46316,47063,47031,44641,41191,37552,33397,29602,25104,21460
45399,  All other miscellaneous store retailers,32831,30237,29724,29678,29765,27611,26689,27279,27213,27332,25777,25270,24666,24040,22643,22132,20770,19366,18044,16314,14465,13063,11316,10071
454,Nonstore retailers,509267,470867,433126,408171,376344,340957,311152,319152,308767,284343,255579,228977,206359,189279,180563,180453,151797,133904,126190,117761,103516,96280,85811,78501
4541,Electronic shopping and mail-order houses,433692,386065,350487,328655,294697,263488,235625,229242,223681,202251,175900,154157,134304,122214,114749,113790,94282,80297,70067,61106,52680,47037,40677,35210
4542,Vending machine operators,6822,6501,6438,6642,6293,6456,6694,7684,7866,8088,7979,8127,7738,7968,7853,8572,8217,7859,7772,7466,6753,6958,6850,7028
4543,Direct selling establishments,68753,78301,76201,72874,75354,71013,68833,82226,77220,74004,71700,66693,64317,59097,57961,58091,49298,45748,48351,49189,44083,42285,38284,36263
45431,Fuel dealers,29711,39590,37677,35935,39469,35524,33459,43575,37436,35480,34311,30345,28414,23981,26093,26692,19912,18925,21941,22563,19820,18700,17566,16665
722,Food services and drinking places ,623081,576216,543313,524161,495350,466920,452005,456265,444551,422786,396463,373557,349726,330525,316638,304261,283900,271194,257364,242245,233012,225000,215467,202865
7221,Full-service restaurants,272892,253256,235818,227210,213880,198699,193847,197053,195505,186091,174119,165099,155314,147537,140070,133579,125108,119432,114186,104113,99032,96683,91122,86208
7222,Limited-service eating places,271111,248646,235588,225958,214248,203257,194879,193995,186001,178189,169034,158485,146799,137955,132564,127519,119653,115508,109122,106036,103018,98342,94597,87260
722211,Limited-service restaurants,222749,205104,195704,187732,177786,168691,161949,161011,153812,149735,143166,135314,126301,118595,114151,110485,104489,101055,95712,92564,89459,84795,81133,73960
7223,Special food services,56394,52709,50470,49572,46654,44764,43313,44987,43157,39173,35257,32368,30354,28703,28320,27833,24609,22297,20677,19147,18510,18213,17607,17116
72231,Food service contractors,43285,40436,38778,38081,36151,34778,33668,34362,32804,29627,26731,24437,23027,21315,21245,20671,18139,16367,15412,14381,14072,14146,13704,13310
7224,Drinking places (alcoholic beverages),22684,21605,21437,21421,20568,20200,19966,20230,19888,19333,18053,17605,17259,16330,15684,15330,14530,13957,13379,12949,12452,11762,12141,12281
